degree,smoothness_order,d,density,n_train,seed,G_dagger,G_star,fits
2,3,20,30,600,0,3.7834522950967866,9,8
2,3,20,30,600,1,3.7317348330249245,9,8
2,3,20,30,600,2,3.6276165970346415,9,8
2,3,20,30,600,3,3.7152854594911235,9,8
2,3,20,30,600,4,3.5701679684454066,9,8
2,3,20,60,1200,0,4.3121364155883475,18,8
2,3,20,60,1200,1,4.330460917891404,18,8
2,3,20,60,1200,2,4.28493527471952,18,8
2,3,20,60,1200,3,4.206586883044216,18,8
2,3,20,60,1200,4,4.110069888219946,18,8
2,3,20,120,2400,0,4.773685918946961,30,9
2,3,20,120,2400,1,4.764811199081526,30,9
2,3,20,120,2400,2,4.739903376556559,30,9
2,3,20,120,2400,3,4.635991802111089,30,9
2,3,20,120,2400,4,4.556837286401758,30,9
2,3,20,240,4800,0,5.255706825868537,30,9
2,3,20,240,4800,1,5.261224436320011,30,9
2,3,20,240,4800,2,5.2274144237577795,30,9
2,3,20,240,4800,3,5.175735462319518,30,9
2,3,20,240,4800,4,4.9993757080577765,30,9
2,3,20,480,9600,0,5.780918907642701,30,9
2,3,20,480,9600,1,5.792106147516591,30,9
2,3,20,480,9600,2,5.765846625846895,30,9
2,3,20,480,9600,3,5.662066986736386,30,9
2,3,20,480,9600,4,5.53218000995436,30,9
2,3,20,960,19200,0,6.3834287451118525,30,9
2,3,20,960,19200,1,6.421029106247761,30,9
2,3,20,960,19200,2,6.354534675198127,30,9
2,3,20,960,19200,3,6.298842161631453,30,9
2,3,20,960,19200,4,6.091146814111272,30,9
2,3,20,1920,38400,0,7.051500168540019,30,9
2,3,20,1920,38400,1,7.083886005839356,30,9
2,3,20,1920,38400,2,7.02973770227775,30,9
2,3,20,1920,38400,3,6.938116337063986,30,9
2,3,20,1920,38400,4,6.725321723319496,30,9
3,4,20,30,600,0,2.9034852122798944,8,7
3,4,20,30,600,1,2.8344095770831625,8,7
3,4,20,30,600,2,2.7951375724870045,8,7
3,4,20,30,600,3,2.7916156582470206,8,7
3,4,20,30,600,4,2.7602013949760322,8,7
3,4,20,60,1200,0,3.2006766662887087,18,7
3,4,20,60,1200,1,3.189494078372663,18,7
3,4,20,60,1200,2,3.162141688298679,18,7
3,4,20,60,1200,3,3.140308930763751,18,7
3,4,20,60,1200,4,3.040482516057406,18,7
3,4,20,120,2400,0,3.421566271966692,30,7
3,4,20,120,2400,1,3.4510943277197987,30,7
3,4,20,120,2400,2,3.377601529649349,30,7
3,4,20,120,2400,3,3.360704942694071,30,7
3,4,20,120,2400,4,3.314817650509314,30,7
3,4,20,240,4800,0,3.69513362689641,30,8
3,4,20,240,4800,1,3.7176237150364524,30,8
3,4,20,240,4800,2,3.6618020942086096,30,8
3,4,20,240,4800,3,3.6365750913694943,30,8
3,4,20,240,4800,4,3.5546207675563903,30,8
3,4,20,480,9600,0,4.0052177343618345,30,8
3,4,20,480,9600,1,3.99556111776047,30,8
3,4,20,480,9600,2,3.968313038814671,30,8
3,4,20,480,9600,3,3.893300596962173,30,8
3,4,20,480,9600,4,3.8418567165986444,30,8
3,4,20,960,19200,0,4.314569191141176,30,8
3,4,20,960,19200,1,4.310207380248716,30,8
3,4,20,960,19200,2,4.276676072600271,30,8
3,4,20,960,19200,3,4.222648671257597,30,8
3,4,20,960,19200,4,4.1585454435897,30,8
3,4,20,1920,38400,0,4.659797587309005,30,9
3,4,20,1920,38400,1,4.673140998395464,30,9
3,4,20,1920,38400,2,4.623096342655077,30,9
3,4,20,1920,38400,3,4.563956466966567,30,9
3,4,20,1920,38400,4,4.475786319571203,30,8
5,6,20,30,600,0,2.027290086469746,6,6
5,6,20,30,600,1,2.014588683423524,6,6
5,6,20,30,600,2,1.9902644030558407,6,6
5,6,20,30,600,3,1.9363649718459577,6,6
5,6,20,30,600,4,2.0140138395170064,6,6
5,6,20,60,1200,0,2.21628359582992,16,6
5,6,20,60,1200,1,2.264095320487364,16,6
5,6,20,60,1200,2,2.2601256335357998,16,6
5,6,20,60,1200,3,2.2107215520995425,16,6
5,6,20,60,1200,4,2.172486837863466,16,6
5,6,20,120,2400,0,2.3250249676085613,30,6
5,6,20,120,2400,1,2.350193556205867,30,6
5,6,20,120,2400,2,2.349793713444106,30,6
5,6,20,120,2400,3,2.302253569117125,30,6
5,6,20,120,2400,4,2.2578196252125546,30,6
5,6,20,240,4800,0,2.4586669154226253,30,6
5,6,20,240,4800,1,2.4859099275039336,30,6
5,6,20,240,4800,2,2.4806942282260476,30,6
5,6,20,240,4800,3,2.443471083521582,30,6
5,6,20,240,4800,4,2.3802461848497316,30,6
5,6,20,480,9600,0,2.580133036045266,30,7
5,6,20,480,9600,1,2.6302072073803733,30,7
5,6,20,480,9600,2,2.6141256762901146,30,7
5,6,20,480,9600,3,2.5743981302107604,30,7
5,6,20,480,9600,4,2.507470499110395,30,7
5,6,20,960,19200,0,2.728016330735428,30,7
5,6,20,960,19200,1,2.7688243546975726,30,7
5,6,20,960,19200,2,2.7601798272776046,30,7
5,6,20,960,19200,3,2.7111760057286234,30,7
5,6,20,960,19200,4,2.645515963674844,30,7
5,6,20,1920,38400,0,2.8712209186549984,30,7
5,6,20,1920,38400,1,2.917942576179529,30,7
5,6,20,1920,38400,2,2.9107231157871607,30,7
5,6,20,1920,38400,3,2.858439812819898,30,7
5,6,20,1920,38400,4,2.787198954353521,30,7
