method,used_defaults_frac,used_constant_predictor_frac,n_cells
aic_spline,0.0,0.19444444444444445,180
bic_spline,0.0,0.25,180
catboost,0.2722222222222222,0.14444444444444443,180
cp_spline,0.0,0.25,180
cv_spline,0.0,0.6111111111111112,180
elasticnet_cv,0.0,0.0,180
extra_trees,0.0,0.0,180
gcv_spline,0.0,0.19444444444444445,180
hist_gbm,0.0,0.0,180
kernel_ridge_rbf,0.0,0.0,180
knn,0.0,0.0,180
kore,0.0,0.0,180
lasso_cv,0.0,0.0,180
lightgbm,0.0,0.0,180
linear,0.0,0.0,180
mlp,0.0,0.0,180
pygam,0.0,0.027777777777777776,180
random_forest,0.0,0.0,180
ridge_cv,0.0,0.0,180
svr_rbf,0.0,0.0,180
xgboost,0.0,0.0,180
