seed,d,n_train,noise_frac,signal_score,bracketed,use_kore,kore_G,kore_fits,kore_rmse,null_rmse,ratio_kore_null
0,10,200,0.05,3.514031769928085,0,0,5,5,0.3146127902018137,0.6526516082804947,0.482053190722546
1,10,200,0.05,4.212748389351291,0,0,5,5,0.3025620201775372,0.639025593745986,0.4734740253577484
2,10,200,0.05,3.6439477392882824,0,0,5,5,0.26543204679453486,0.5726057487487274,0.4635511385880489
3,10,200,0.05,4.960149281353801,0,0,5,5,0.2357372739887104,0.5706825072330503,0.4130795512406377
4,10,200,0.05,4.359416313251432,0,0,5,5,0.3039452336360248,0.6956647972235717,0.4369133451183435
0,10,200,0.1,4.100036042921404,0,0,5,5,0.2908631115600184,0.6482326274862821,0.4487017456802938
1,10,200,0.1,4.307797280957865,0,0,5,5,0.3177708571188445,0.6716542773816656,0.47311670277396617
2,10,200,0.1,3.6375307927237843,0,0,5,5,0.2716443887372561,0.5710584542394469,0.4756857843896916
3,10,200,0.1,4.030190608760775,0,0,5,5,0.22069198957801087,0.5727576940529989,0.38531475328830694
4,10,200,0.1,4.283371607985764,0,0,5,5,0.28280972379325914,0.7019455177733227,0.40289412302307215
0,10,200,0.2,3.5072936153835297,0,0,5,5,0.3157813480582922,0.648598286799103,0.48686737921665585
1,10,200,0.2,3.92321370533891,0,0,5,5,0.3361898654320493,0.6651106207216878,0.5054645873302425
2,10,200,0.2,3.7993969674722887,0,0,5,5,0.29509034865378314,0.5815658399419248,0.5074066053866763
3,10,200,0.2,4.22010890657541,0,0,5,5,0.21638519948570242,0.5528500351314958,0.39139944964322027
4,10,200,0.2,4.539770571837457,0,0,5,5,0.3283409148777838,0.6936849821806605,0.47332856168460624
0,10,200,0.4,3.382442490741032,1,1,5,5,0.36481410815646337,0.6426561218362744,0.567666121524016
1,10,200,0.4,3.6710508571677845,0,0,5,5,0.3910860421641821,0.6622350962534933,0.5905546902855182
2,10,200,0.4,3.1295344563767813,0,0,5,5,0.3005665709376117,0.5697606229832621,0.5275313154563885
3,10,200,0.4,4.060627673229374,0,0,5,5,0.28060234506435267,0.5758738659948678,0.4872635513327035
4,10,200,0.4,3.6359079610849387,0,0,5,5,0.3560478880281644,0.6931776963531997,0.5136459091244979
0,10,200,0.8,0.6676561755279997,1,0,2,4,0.5946356052298223,0.655416810154087,0.9072632804306999
1,10,200,0.8,1.2997172784060198,0,0,5,5,0.473856276892172,0.6849242357207035,0.6918375087042471
2,10,200,0.8,1.0423943193388385,0,0,5,5,0.49174919308520176,0.5647748764473474,0.8706994832675535
3,10,200,0.8,1.3911345901331706,1,1,3,5,0.4179456634064291,0.5784514054880553,0.7225251065883346
4,10,200,0.8,1.9684869099642044,1,1,5,5,0.5108164264528194,0.6927918710482718,0.7373302831626718
0,10,200,1.2,0.377451153058361,1,0,3,4,0.651291045839177,0.6462837709112236,1.007747796174571
1,10,200,1.2,0.451245561089268,1,0,2,4,0.6414025328599687,0.6818252792665975,0.940713922414098
2,10,200,1.2,-0.17198297318125244,1,0,2,4,0.5377241254927485,0.5789903743729867,0.9287272281081923
3,10,200,1.2,1.2146421926800275,1,1,5,5,0.5473494177021017,0.5662560168954248,0.9666112171364092
4,10,200,1.2,0.9026664220056412,1,0,1,4,0.6852305655595542,0.6869756821626204,0.9974597112410551
0,10,200,1.6,-1.2640311445467403,1,0,1,4,0.6821991613525413,0.6543005434264588,1.0426388426639266
1,10,200,1.6,-0.5297955251338431,1,0,2,4,0.6771734735755013,0.662242050675255,1.0225467755860889
2,10,200,1.6,0.13265645193909567,1,0,2,4,0.5881409745328618,0.569087125080213,1.0334814277338698
3,10,200,1.6,-0.1816751870124677,1,0,2,4,0.6632738792980956,0.5604768924870702,1.1834098571929919
4,10,200,1.6,-0.14701821427958797,1,0,1,4,0.7107490633119964,0.7047268200814024,1.0085455002690238
0,10,200,2.0,-0.48308261098885824,1,0,1,4,0.9169529125995374,0.6670941798537887,1.3745479128606874
1,10,200,2.0,0.08273430891905473,1,0,2,4,0.8576739772361615,0.6810849630157737,1.259276043092289
2,10,200,2.0,-0.4294104792559459,1,0,2,5,0.8001646214989159,0.5843667388563203,1.3692850196521098
3,10,200,2.0,-0.6540888026302422,1,0,1,4,0.6205636168351801,0.5733822491784388,1.0822860626124098
4,10,200,2.0,-0.34748662131333674,1,0,2,4,0.7742393570016145,0.6949627422292273,1.1140731868849432
