dataset,method,family,seed,n_total,n_train,n_test,d,host,pid,rss_start_mb,rmse_test,mae_test,r2_test,nrmse_test,n_fits,fit_time_s,best_hp,used_defaults,used_constant_predictor,error,rss_peak_mb,rss_end_mb,rss_advisory_exceeded
sarcos,catboost,tree,0,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56384,351.5,4.881611619039911,3.33006030231961,0.9214699351042106,0.2382595519951187,4,220.4517946349997,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,446.6328125,455.26953125,False
sarcos,catboost,tree,3,2500,2000,500,21,5129-185601-qvgdtemg-172-21-0-50,56436,350.31640625,5.13774302228864,3.39363013873914,0.9392593704942558,0.2611647566637222,4,222.0680464119996,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,426.4453125,427.0,False
superconductivity,catboost,tree,0,2500,2000,500,81,5129-185601-qvgdtemg-172-21-0-50,56387,350.1796875,12.156956162216089,8.098317742843731,0.8743472808760221,0.3522238234379652,4,224.02170920699973,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,491.7890625,495.6875,False
health_insurance,catboost,tree,0,2500,2000,500,25,5129-185601-qvgdtemg-172-21-0-50,56410,349.87890625,14.62057710232488,11.697916780221083,0.3787989423364529,0.7797509697227598,7,244.32649359700008,"{'depth': 8, 'learning_rate': 0.019508802184929567, 'l2_leaf_reg': 20.761410420015302, 'random_strength': 9.636627605010293, 'bagging_temperature': 1.9172075941288886}",False,False,,424.5234375,413.77734375,False
video_transcoding,catboost,tree,0,2500,2000,500,24,5129-185601-qvgdtemg-172-21-0-50,56407,342.97265625,4.31920285235359,1.6065950552614896,0.9225834985557588,0.2956540030669048,4,291.6290056580001,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,421.29296875,417.28515625,False
brazilian_houses,catboost,tree,0,2500,2000,500,49,5129-185601-qvgdtemg-172-21-0-50,56391,352.98046875,2391.709432530868,1453.4241434375467,0.7268469431721232,0.2792369285344371,7,302.98751010700016,"{'depth': 8, 'learning_rate': 0.019508802184929567, 'l2_leaf_reg': 20.761410420015302, 'random_strength': 9.636627605010293, 'bagging_temperature': 1.9172075941288886}",False,False,,442.875,406.51953125,False
wave_energy,catboost,tree,0,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56364,350.55859375,33566.51113747659,24687.65043195162,0.9032809256894928,0.3034748243594432,4,321.126999092,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,471.13671875,466.2109375,False
wave_energy,catboost,tree,3,2500,2000,500,48,5129-185601-qvgdtemg-172-21-0-50,56394,352.1875,32120.14286537284,23918.982486552683,0.9106311723986472,0.2902794241212845,4,352.5355896410001,"{'depth': 7, 'learning_rate': 0.12964371541060518, 'l2_leaf_reg': 2.689685941170981, 'random_strength': 5.10827605197663, 'bagging_temperature': 4.464734771738273}",False,False,,469.1640625,464.96875,False
fifa,catboost,tree,0,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56363,353.265625,9764.72650580332,4199.722980046176,0.6697934029235684,0.4507147564856639,7,355.16715504700005,"{'depth': 7, 'learning_rate': 0.13619406860195024, 'l2_leaf_reg': 7.768811685516967, 'random_strength': 5.448831829968968, 'bagging_temperature': 2.1182739966945237}",False,False,,460.03515625,423.2890625,False
fifa,catboost,tree,1,2500,2000,500,190,5129-185601-qvgdtemg-172-21-0-50,56373,351.59375,15593.314294273683,9569.4664,-0.0157662494627199,0.7108219289299504,0,368.6418026930005,,False,True,cell timed out after 360s,410.21484375,398.62109375,False
