method,mean_rank,ci_lo_2p5,ci_hi_97p5,n_boot
kore,4.327124999999997,2.8045138888888888,6.027777777777778,1000
kernel_ridge_rbf,5.342388888888887,4.277777777777778,6.458333333333333,1000
knn,7.5381666666666645,5.455555555555556,9.653819444444444,1000
hist_gbm,7.788305555555559,6.638888888888889,9.000694444444443,1000
pygam,8.166722222222226,6.763888888888889,9.681249999999999,1000
lightgbm,9.035888888888891,7.9437500000000005,10.13888888888889,1000
svr_rbf,9.305986111111118,8.013194444444444,10.680902777777778,1000
bic_spline,9.462638888888897,7.651736111111111,11.208680555555556,1000
xgboost,9.795083333333345,8.749305555555555,10.861805555555554,1000
extra_trees,10.229583333333322,9.332638888888889,11.11111111111111,1000
gcv_spline,10.889097222222237,8.875,12.820138888888888,1000
aic_spline,11.86365277777777,10.055208333333333,13.694444444444445,1000
cp_spline,11.994097222222225,10.305208333333333,13.584375,1000
random_forest,12.082652777777774,11.166666666666666,13.028472222222222,1000
mlp,12.750527777777782,11.63888888888889,13.694791666666667,1000
lasso_cv,14.080361111111088,12.027430555555556,15.902777777777779,1000
cv_spline,14.281819444444462,12.777777777777779,15.736458333333333,1000
catboost,14.595874999999992,13.694444444444445,15.458680555555556,1000
ridge_cv,14.865069444444455,13.277430555555556,16.333333333333332,1000
elasticnet_cv,14.924152777777802,13.11111111111111,16.48645833333333,1000
linear,17.68080555555557,16.860069444444445,18.444791666666664,1000
