method,family,ref_method,gm_rmse_ratio,total_fit_time_s,total_n_fits,n_datasets_won,n_datasets_total
aic_spline,spline,kore,1.643349454397484,3314.022211722997,3155,4,36
bic_spline,spline,kore,1.4027547418966235,769.3415874749917,2945,8,36
catboost,tree,kore,1.0448007532591037,73286.987283035,577,27,36
cp_spline,spline,kore,1.71541066929354,765.9873586030044,2945,5,36
cv_spline,spline,kore,2.052420021746195,1684.8725693159995,5530,5,36
elasticnet_cv,linear,kore,1.6761091323800965,25.57806699799493,270180,6,36
extra_trees,tree,kore,1.0637937241460789,8571.414016775998,16554,28,36
gcv_spline,spline,kore,1.5248752160358916,3170.0430539790004,3155,5,36
hist_gbm,tree,kore,0.9461785128755495,3881.539380146004,12465,29,36
kernel_ridge_rbf,kernel,kore,0.86503910895322,792.4855095209996,15081,28,36
knn,neighbors,kore,1.4001152039373084,146.96137507099775,8538,16,36
kore,spline,kore,1.0,26.309318724987858,1012,0,36
lasso_cv,linear,kore,1.3559771930292472,8.391659379994046,54180,9,36
lightgbm,tree,kore,0.9480185565750329,5058.035394947004,13659,28,36
linear,linear,kore,0.9091364695804867,0.633294574000493,180,6,36
mlp,neural,kore,1.1132902819921888,17004.71124475399,12933,25,36
pygam,spline,kore,0.7248847511895746,6484.897009983003,1925,24,36
random_forest,tree,kore,1.0825146250372097,14725.679464895005,15369,25,36
ridge_cv,linear,kore,1.0527509651727112,7.295620370004136,7200,7,36
svr_rbf,kernel,kore,0.9808207575429142,3990.9379090589946,16092,24,36
xgboost,tree,kore,0.9378305386327168,8832.108977921995,12384,29,36
