method,family,mean_rank,n_datasets,k_methods
kore,spline,4.305555555555555,36,21
kernel_ridge_rbf,kernel,5.319444444444445,36,21
knn,neighbors,7.527777777777778,36,21
hist_gbm,tree,7.805555555555555,36,21
pygam,spline,8.13888888888889,36,21
lightgbm,tree,9.055555555555555,36,21
svr_rbf,kernel,9.291666666666666,36,21
bic_spline,spline,9.430555555555555,36,21
xgboost,tree,9.805555555555555,36,21
extra_trees,tree,10.25,36,21
gcv_spline,spline,10.86111111111111,36,21
aic_spline,spline,11.847222222222221,36,21
cp_spline,spline,11.972222222222221,36,21
random_forest,tree,12.097222222222221,36,21
mlp,neural,12.76388888888889,36,21
lasso_cv,linear,14.11111111111111,36,21
cv_spline,spline,14.277777777777779,36,21
catboost,tree,14.61111111111111,36,21
ridge_cv,linear,14.875,36,21
elasticnet_cv,linear,14.958333333333334,36,21
linear,linear,17.694444444444443,36,21
