method,n_obs,median_delta,wilcoxon_p_raw,wilcoxon_p_holm,direction
aic_spline,180,0.012262135790782983,5.961813015676428e-24,9.922503956258106e-23,kore_better
bic_spline,180,0.009262231991768179,1.178871805191727e-22,1.532533346749245e-21,kore_better
catboost,180,0.016965130616293483,3.134407338003359e-25,6.268814676006718e-24,kore_better
cp_spline,180,0.011419380529304883,7.525257953609502e-24,1.1287886930414254e-22,kore_better
cv_spline,180,0.015720992561058408,5.8367670330930034e-24,9.922503956258106e-23,kore_better
elasticnet_cv,180,0.015051208876630003,7.389058598774923e-20,4.433435159264953e-19,kore_better
extra_trees,180,0.014532303781763128,1.853124261820711e-22,2.2237491141848532e-21,kore_better
gcv_spline,180,0.008143258588664097,1.6893032199435873e-21,1.6893032199435874e-20,kore_better
hist_gbm,180,0.013820521986546166,4.5450341486807544e-18,1.3635102446042264e-17,kore_better
kernel_ridge_rbf,180,0.009201591048303358,5.953260254841131e-10,1.1906520509682261e-09,kore_better
knn,180,0.00014434695135498183,0.17152755854059476,0.17152755854059476,tied
lasso_cv,180,0.014989772939637228,1.3064239677740315e-19,6.532119838870158e-19,kore_better
lightgbm,180,0.01407924578105033,1.47575774271585e-20,1.033030419901095e-19,kore_better
linear,180,0.01723296560583739,1.4768306122351322e-24,2.8059781632467513e-23,kore_better
mlp,180,0.01581937653733434,2.7705217373197855e-24,4.986939127175614e-23,kore_better
pygam,180,0.01048028463220306,5.507274755329635e-21,4.405819804263708e-20,kore_better
random_forest,180,0.015981888285347093,7.849147239852655e-24,1.1287886930414254e-22,kore_better
ridge_cv,180,0.015954771915965425,3.791778715228444e-21,3.4126008437055997e-20,kore_better
svr_rbf,180,0.013654280609632023,5.745304752764713e-19,2.2981219011058853e-18,kore_better
xgboost,180,0.014163247277248048,9.069263972714663e-22,9.976190369986129e-21,kore_better
