method,dataset,rmse_median,rmse_iqr_lo,rmse_iqr_hi,r2_median,r2_iqr_lo,r2_iqr_hi,mae_median,mae_iqr_lo,mae_iqr_hi,nrmse_median,nrmse_iqr_lo,nrmse_iqr_hi,cnl_median,cnl_iqr_lo,cnl_iqr_hi,fit_time_median,fit_time_total,n_fits_median,used_defaults_frac,used_constant_predictor_frac,family,n_seeds
catboost,sarcos,4.881611619039911,4.806755093951152,5.13774302228864,0.934873258070102,0.9214699351042106,0.93905067971765,3.33006030231961,3.232205827862284,3.39363013873914,0.2397283136066801,0.2382807586929703,0.2611647566637222,3.948446168337255e-05,2.7053348656962097e-05,4.169845323361653e-05,444.2163560859999,1995.2160969199986,4.0,0.2,0.2,tree,5
catboost,superconductivity,12.156956162216089,12.139891833748251,13.069052088918042,0.8669077499478489,0.8622394357620276,0.8743472808760221,8.088749993335036,7.685629448618194,8.098317742843731,0.3522238234379652,0.3491504044238017,0.3807062910580019,0.0002668208677029603,0.00025030059299399783,0.00028614366137693357,481.6866442439996,2240.909416642,4.0,0.4,0.0,tree,5
catboost,health_insurance,15.10759725381309,14.62057710232488,18.434928864793594,0.3429093695682206,-0.0001194865599782,0.3787989423364529,11.712049573784991,11.697916780221083,16.755881999999996,0.8070085153588641,0.7797509697227598,0.9816576174092492,3.0535547114561356e-05,0.0,7.082542792771831e-05,437.6524656299998,2033.9789600149998,4.0,0.0,0.4,tree,5
catboost,video_transcoding,4.214105209273799,3.670066687473663,4.31920285235359,0.9225834985557588,0.9154291686677454,0.9325646563427908,1.4504610780608256,1.4366913834780508,1.6065950552614896,0.2833342586071421,0.2453936823459225,0.2956540030669048,0.0005627192136966688,0.0005423430870438549,0.0008556180640185998,496.249741052,2446.5375225650005,4.0,0.2,0.2,tree,5
catboost,brazilian_houses,4316.732989450037,2549.225831439668,4566.146603659589,-0.0002873720708578,-0.0012089422379135,0.6591800238800546,3399.137236,1504.2390632461702,3494.9631039999995,0.5019850481115208,0.296730590262262,0.5329719728346336,0.0,0.0,7.88722838539864e-05,429.08657761,2125.7747152069996,0.0,0.0,0.6,tree,5
catboost,wave_energy,27707.79484946478,27371.053781661973,32120.14286537284,0.9325706533493276,0.9106311723986472,0.9404376809348828,21144.663925268047,19615.46347865581,23918.982486552683,0.2498426926172479,0.2498422187206533,0.2902794241212845,0.0,0.0,0.0,465.5090006889996,2454.5956033289995,4.0,0.4,0.0,tree,5
catboost,fifa,13369.136988321274,9764.72650580332,15593.314294273683,-0.0006796700142641,-0.0157662494627199,0.6697934029235684,9125.755,4487.915209144997,9569.4664,0.5995063860732938,0.4507147564856639,0.7108219289299504,0.0,0.0,0.0007736860163077385,427.0622736770001,2044.179678538001,0.0,0.0,0.6,tree,5
catboost,fps_benchmark,3.6840705634073534,3.164990464830632,50.15291861838651,0.9957360132321488,-0.0020627047527985,0.996708148498733,1.920164958623021,1.8421223836173448,38.5657302,0.0695965398705726,0.0594161665746669,0.9203193200898648,6.52199629913517e-05,0.0,6.604412843579461e-05,630.554041886,2709.9299725250003,1.0,0.6,0.4,tree,5
catboost,naval_propulsion_plant,0.0145472222864023,0.0020308819413468,0.0148269289554513,-4.241444076180656e-06,-0.0014208904279631,0.9810767895189214,0.01260288,0.001265264174249,0.01282874,0.9848015590934766,0.1379973478287476,1.0085109345013614,0.0,0.0,0.00021356852180496607,427.7289481509997,2493.0135651009996,0.0,0.4,0.6,tree,5
catboost,Moneyball,23.70363343949992,22.24416778910141,92.4681466953502,0.936836763801618,-0.0021471964583308,0.938598915691128,18.66899135295788,17.896034551211187,74.1730450687437,0.261121116471678,0.2447120216625552,1.013271018373689,0.0,0.0,0.0,448.6505034289994,2224.947446964001,1.0,0.2,0.4,tree,5
catboost,kings_county,124158.01658163844,123226.44945333814,138733.00829045696,0.8539335170558094,0.840494775375956,0.8595983562613094,70919.71338488626,70221.2934649821,72207.57892927858,0.3741130860470873,0.3725934658371823,0.42551244281804,0.00012468936514018711,0.00011633174164450828,0.0001253069327623936,466.8437921499999,2330.3068849599995,4.0,0.2,0.2,tree,5
catboost,miami_housing,107914.0302903747,105903.04851504556,121958.27253160738,0.9008849890966506,0.8668469653214232,0.907772166646804,54388.25710003094,52151.57794918314,56711.44212302434,0.3476125253779574,0.341452740596244,0.3855158690198305,0.000369778438925512,0.0002889296559708398,0.00042028750488678313,483.46059515900015,2479.554073268,4.0,0.2,0.2,tree,5
catboost,cpu_activity,3.811328129491759,3.1835861098714737,3.845899261068368,0.9642417372483466,0.9608344934404514,0.9774339320013488,2.1014414252655467,2.033516159656482,2.306161570115597,0.1976672294256267,0.1680406877627983,0.1977163886669876,0.0004157715934764143,0.0003936209340081786,0.00046478360212447986,456.294856296,2377.953123974,4.0,0.2,0.2,tree,5
catboost,diamonds,774.2811494417815,699.9110375915207,3789.917686471864,0.9649290459993152,-0.0027683778587028,0.9674227904370656,420.55076552555033,390.2454047220357,2917.850548,0.2005140802532144,0.1781167993386339,0.9591873036811042,8.527296044345086e-05,0.0,8.57302273423196e-05,446.2806168390007,2239.136539188,4.0,0.0,0.4,tree,5
catboost,pumadyn32nh,0.0232260747210199,0.0218265524605545,0.0232283953146674,0.5805888979573939,0.5723384814688625,0.6202991583720324,0.01834102305175,0.0172547770542961,0.0185777240309639,0.638980901657178,0.5998026125147436,0.6402104987988922,0.0008959411651626192,0.0008616076110808314,0.000940949082294735,458.08446243100025,2334.627658047001,4.0,0.4,0.0,tree,5
catboost,geographical_origin_of_music,15.232052936927753,15.031244653828898,15.628370558184027,0.2698662895590449,0.2629019577128697,0.3033787541932495,12.113270050119342,11.448136106155411,12.345340859758,0.8187784212365744,0.8133618113160619,0.8503543619853209,0.00037407917698000187,0.00016745404803999826,0.00041672953980716827,472.4693115810005,2385.671840888999,4.0,0.4,0.0,tree,5
catboost,cps88wages,303.7204690449508,300.7856399084123,322.54771081419426,0.388960382778574,0.3744217073787133,0.391909065284943,223.0101090502246,220.0141546280856,224.97972674990191,0.7274357392878902,0.7231300382600407,0.7848454834581475,0.00014038732649986443,0.00013341059756627547,0.00014497420292689672,377.5445256439998,1834.4496573210008,4.0,0.2,0.0,tree,5
catboost,grid_stability,0.0090941530981144,0.0089075873379569,0.0096178271017922,0.9380315164780864,0.9237837706998012,0.9396405408957276,0.0065562689531806,0.0064148997011632,0.0072205491170765,0.2504873059486309,0.2434863257246947,0.2610659878560348,0.0005772911118515096,0.0005516033542553636,0.0008439758785244164,545.3071078540006,2222.3523476380005,1.0,0.6,0.0,tree,5
catboost,socmob,13.295658649010049,12.003973200405545,14.535072985410562,0.8962289966813175,0.8430537391484842,0.9140233922593556,5.56468118911215,5.17253661397662,5.810686469600747,0.334075607725431,0.2778505114616396,0.3645425406945709,0.0007224966588418512,0.00036515279476789363,0.000862305800217885,400.51676103000045,1725.6451933379994,4.0,0.2,0.0,tree,5
catboost,solar_flare,0.6986742117875593,0.6312123227378732,0.7085449863253932,0.115280531514655,0.094494556848662,0.1630866517002087,0.3824678980476392,0.3750103507166352,0.4071918363014967,0.8139891370394556,0.7243673774543012,0.8375857816051641,0.0,0.0,0.0,369.7516636979999,1583.7721405760003,7.0,0.2,0.0,tree,5
catboost,kin8nm,0.1187168178059911,0.117786388598641,0.1207203205639117,0.7917844156923275,0.7824470233659186,0.7936869973293696,0.093931661114852,0.091649377967724,0.0940616036283716,0.4513638746942622,0.4436491721981874,0.4598116853496289,0.0008663389840162721,0.0007583158846279255,0.0012982221026407149,393.9647941249996,1886.8941147729984,4.0,0.4,0.0,tree,5
catboost,space_ga,0.1099299777962828,0.1068838927163642,0.1099327656283352,0.7078648190994226,0.6866657425593277,0.7122589836202768,0.0779966381681893,0.0766541646925801,0.0782641756908641,0.5400935911917598,0.526949465239531,0.5447029768960893,0.0003369748626806346,0.0002005014711828324,0.0003650234791050421,425.26880073699976,2024.9056385329995,4.0,0.4,0.0,tree,5
catboost,white_wine,0.6579652896724353,0.6547465530621025,0.6585292225871076,0.4176997736970883,0.4114727072826228,0.4367310858537729,0.5060136599748862,0.5022678827147741,0.5120102804981385,0.7481760080755993,0.73916675667359,0.7530629503863797,0.00040134184427492644,0.00035364794748985937,0.00041809949115043744,396.7586200349997,2076.5447373099996,4.0,0.4,0.0,tree,5
catboost,auction_verification,487.02780028737095,405.24262700321015,572.7783376775672,0.9978495851073568,0.9972589627844056,0.9985849282714476,280.0395558029037,247.1731275358596,287.1942257376606,0.0471169319421113,0.0394577884133247,0.0560772508271458,0.0006299933836608306,0.0006069427671060557,0.0006379204025565505,510.6738397710005,2408.7901797329996,1.0,0.8,0.2,tree,5
catboost,abalone,2.2624478805279686,2.2550131482138847,2.308658133592891,0.5255913078743357,0.496494374606977,0.533329814679482,1.5945150672611343,1.5426972269266876,1.599136439226349,0.6967035730614062,0.6943571478136173,0.7000133792837026,0.0,0.0,0.0,397.5503167919997,1966.540069804998,4.0,0.4,0.0,tree,5
catboost,physiochemical_protein,4.611655265114241,4.449638396444759,4.611889169612326,0.4683545633579579,0.4586170920119511,0.4830196660959126,3.522934534233041,3.410436776087808,3.5497685362859346,0.749885325727785,0.7214766232265845,0.7518281859379886,0.00037366314194362205,0.0003384949177206614,0.0004093461508688631,406.0513945590001,2078.3470615219985,4.0,0.4,0.0,tree,5
catboost,california_housing,51680.46045427853,50943.67119419271,55854.89959802138,0.7607768817053285,0.7530697236251052,0.7651895298434446,36557.24714536504,36484.98577921018,36946.02197531147,0.4536709436963512,0.4528577824483928,0.5001748803422353,0.0003059350494856083,0.0002791528176508323,0.000313275142739,405.2449013790001,2101.186942798001,4.0,0.4,0.0,tree,5
catboost,red_wine,0.6099246532841319,0.6036327460649518,0.6387038469135772,0.428295182745709,0.3891985399252899,0.4430023297390315,0.4531328289941436,0.4506374431306928,0.4714297765534231,0.7583330447912333,0.745740406651306,0.7936829690461886,0.0001669458529885303,0.00015290592424625914,0.00022800409598799869,384.2209151020006,1972.2008962379996,4.0,0.4,0.0,tree,5
catboost,forest_fires,36.16148010956287,24.3737599578304,37.14036599968052,-0.0076962747800857,-0.0679903247113489,-0.0064390553622373,19.082304617972763,16.145789893599662,19.415750598800155,0.5255220787223018,0.3475189510576478,0.5408331559791137,0.0,0.0,0.0,205.2784095269999,1136.939687346,13.0,0.0,0.0,tree,5
catboost,student_performance_por,2.6311634404577022,2.54497409348326,2.674135951995339,0.2435271772751164,0.2415594279493988,0.2588851785228226,1.887004869958954,1.8562745984839288,1.896976912652048,0.8046969613313564,0.7681084885211793,0.8342071673844367,7.955094027251912e-05,2.2246702389720937e-05,8.207726945011263e-05,372.8693050080001,1861.002016818,4.0,0.4,0.0,tree,5
catboost,combined_cycle_power_plant,3.9391190191736736,3.68129400459402,4.015302852281894,0.9497643590857694,0.9471099450256404,0.9540266255555236,2.873231178919105,2.8237591947362577,2.9128373908507266,0.2299155554640202,0.2160921961681995,0.2370495650174985,5.2757096112519185e-05,4.6371713128871195e-05,5.428674660374447e-05,403.31339345800006,2010.4751958710003,4.0,0.4,0.0,tree,5
catboost,airfoil_self_noise,1.572108956700646,1.4976572998976752,6.54926983976103,0.9496352479781248,-0.0004986692367494,0.9538312993505796,1.0618432836804832,0.9574085155408816,5.319031658199788,0.2289435249681814,0.2177596678256464,0.938202922169495,0.001101730593385567,0.0,0.0015789482401256064,360.9754445939998,1745.3202969570002,1.0,0.2,0.4,tree,5
